record_id,student_id,group_id,session_type,session_datetime,status
AT000128,S0196,G01,session,2025-12-18 16:00:00,P
AT000129,S0238,G01,session,2025-12-18 16:00:00,P
AT000130,S0239,G01,session,2025-12-18 16:00:00,A
AT000131,S0245,G01,session,2025-12-18 16:00:00,P
AT000132,S0262,G01,session,2025-12-18 16:00:00,P
AT000133,S0265,G01,session,2025-12-18 16:00:00,P
AT000134,S0278,G01,session,2025-12-18 16:00:00,P
AT000135,S0310,G01,session,2025-12-18 16:00:00,A
AT000136,S0313,G01,session,2025-12-18 16:00:00,P
AT000137,S0324,G01,session,2025-12-18 16:00:00,P
AT000138,S0329,G01,session,2025-12-18 16:00:00,P
AT000139,S0380,G01,session,2025-12-18 16:00:00,A
AT000140,S0383,G01,session,2025-12-18 16:00:00,P
AT000141,S0384,G01,session,2025-12-18 16:00:00,P
AT000142,S0395,G01,session,2025-12-18 16:00:00,A
AT000143,S0402,G01,session,2025-12-18 16:00:00,P
AT000144,S0407,G01,session,2025-12-18 16:00:00,P
AT000145,S0410,G01,session,2025-12-18 16:00:00,P
AT000146,S0420,G01,session,2025-12-18 16:00:00,P
AT000147,S0425,G01,session,2025-12-18 16:00:00,P
AT000148,S0433,G01,session,2025-12-18 16:00:00,P
AT000149,S0444,G01,session,2025-12-18 16:00:00,P
AT000150,S0454,G01,session,2025-12-18 16:00:00,P
AT000151,S0471,G01,session,2025-12-18 16:00:00,P
AT000152,S0474,G01,session,2025-12-18 16:00:00,P
AT000153,S0479,G01,session,2025-12-18 16:00:00,P
AT000154,S0482,G01,session,2025-12-18 16:00:00,P
AT000155,S0493,G01,session,2025-12-18 16:00:00,P
AT000156,S0499,G01,session,2025-12-18 16:00:00,P
AT000157,S0005,G01,quiz,2025-12-25 16:00:00,A
AT000158,S0009,G01,quiz,2025-12-25 16:00:00,P
AT000159,S0014,G01,quiz,2025-12-25 16:00:00,P
AT000160,S0016,G01,quiz,2025-12-25 16:00:00,A
AT000161,S0021,G01,quiz,2025-12-25 16:00:00,P
AT000162,S0032,G01,quiz,2025-12-25 16:00:00,P
AT000163,S0040,G01,quiz,2025-12-25 16:00:00,P
AT000164,S0046,G01,quiz,2025-12-25 16:00:00,P
AT000165,S0053,G01,quiz,2025-12-25 16:00:00,P
AT000166,S0057,G01,quiz,2025-12-25 16:00:00,P
AT000167,S0094,G01,quiz,2025-12-25 16:00:00,P
AT000168,S0095,G01,quiz,2025-12-25 16:00:00,P
AT000169,S0125,G01,quiz,2025-12-25 16:00:00,P
AT000170,S0128,G01,quiz,2025-12-25 16:00:00,A
AT000171,S0131,G01,quiz,2025-12-25 16:00:00,P
AT000172,S0134,G01,quiz,2025-12-25 16:00:00,P
AT000173,S0138,G01,quiz,2025-12-25 16:00:00,A
AT000174,S0143,G01,quiz,2025-12-25 16:00:00,P
AT000175,S0145,G01,quiz,2025-12-25 16:00:00,P
AT000176,S0146,G01,quiz,2025-12-25 16:00:00,P
AT000177,S0173,G01,quiz,2025-12-25 16:00:00,P
AT000178,S0174,G01,quiz,2025-12-25 16:00:00,P
AT000179,S0192,G01,quiz,2025-12-25 16:00:00,P
AT000180,S0196,G01,quiz,2025-12-25 16:00:00,P
AT000181,S0238,G01,quiz,2025-12-25 16:00:00,A
AT000182,S0239,G01,quiz,2025-12-25 16:00:00,P
AT000183,S0245,G01,quiz,2025-12-25 16:00:00,P
AT000184,S0262,G01,quiz,2025-12-25 16:00:00,P
AT000185,S0265,G01,quiz,2025-12-25 16:00:00,P
AT000186,S0278,G01,quiz,2025-12-25 16:00:00,P
AT000187,S0310,G01,quiz,2025-12-25 16:00:00,P
AT000188,S0313,G01,quiz,2025-12-25 16:00:00,P
AT000189,S0324,G01,quiz,2025-12-25 16:00:00,P
AT000190,S0329,G01,quiz,2025-12-25 16:00:00,P
AT000191,S0380,G01,quiz,2025-12-25 16:00:00,P
AT000192,S0383,G01,quiz,2025-12-25 16:00:00,P
AT000193,S0384,G01,quiz,2025-12-25 16:00:00,P
AT000194,S0395,G01,quiz,2025-12-25 16:00:00,P
AT000195,S0402,G01,quiz,2025-12-25 16:00:00,A
AT000196,S0407,G01,quiz,2025-12-25 16:00:00,P
AT000197,S0410,G01,quiz,2025-12-25 16:00:00,P
AT000198,S0420,G01,quiz,2025-12-25 16:00:00,P
AT000199,S0425,G01,quiz,2025-12-25 16:00:00,P
AT000200,S0433,G01,quiz,2025-12-25 16:00:00,P
AT000201,S0444,G01,quiz,2025-12-25 16:00:00,P
AT000202,S0454,G01,quiz,2025-12-25 16:00:00,P
AT000203,S0471,G01,quiz,2025-12-25 16:00:00,P
AT000204,S0474,G01,quiz,2025-12-25 16:00:00,P
AT000205,S0479,G01,quiz,2025-12-25 16:00:00,P
AT000206,S0482,G01,quiz,2025-12-25 16:00:00,P
AT000207,S0493,G01,quiz,2025-12-25 16:00:00,P
AT000208,S0499,G01,quiz,2025-12-25 16:00:00,P
AT001353,S0004,G02,session,2025-12-04 18:00:00,A
AT001354,S0015,G02,session,2025-12-04 18:00:00,P
AT001355,S0017,G02,session,2025-12-04 18:00:00,P
AT001356,S0022,G02,session,2025-12-04 18:00:00,P
AT001357,S0043,G02,session,2025-12-04 18:00:00,P
AT001358,S0055,G02,session,2025-12-04 18:00:00,P
AT001359,S0064,G02,session,2025-12-04 18:00:00,P
AT001360,S0075,G02,session,2025-12-04 18:00:00,P
AT001361,S0097,G02,session,2025-12-04 18:00:00,P
AT001362,S0098,G02,session,2025-12-04 18:00:00,P
AT001363,S0100,G02,session,2025-12-04 18:00:00,P
AT001364,S0102,G02,session,2025-12-04 18:00:00,P
AT001365,S0104,G02,session,2025-12-04 18:00:00,P
AT001366,S0124,G02,session,2025-12-04 18:00:00,P
AT001367,S0126,G02,session,2025-12-04 18:00:00,P
AT001368,S0130,G02,session,2025-12-04 18:00:00,P
AT001369,S0133,G02,session,2025-12-04 18:00:00,P
AT001370,S0135,G02,session,2025-12-04 18:00:00,P
AT001371,S0149,G02,session,2025-12-04 18:00:00,P
AT001372,S0163,G02,session,2025-12-04 18:00:00,P
AT001373,S0176,G02,session,2025-12-04 18:00:00,P
AT001374,S0180,G02,session,2025-12-04 18:00:00,P
AT001375,S0182,G02,session,2025-12-04 18:00:00,P
AT001376,S0183,G02,session,2025-12-04 18:00:00,P
AT001377,S0185,G02,session,2025-12-04 18:00:00,P
AT001378,S0186,G02,session,2025-12-04 18:00:00,P
AT001379,S0188,G02,session,2025-12-04 18:00:00,P
AT001380,S0198,G02,session,2025-12-04 18:00:00,A
AT001381,S0199,G02,session,2025-12-04 18:00:00,P
AT001382,S0202,G02,session,2025-12-04 18:00:00,P
AT001383,S0208,G02,session,2025-12-04 18:00:00,A
AT001384,S0218,G02,session,2025-12-04 18:00:00,A
AT001385,S0221,G02,session,2025-12-04 18:00:00,A
AT001386,S0227,G02,session,2025-12-04 18:00:00,P
AT001387,S0247,G02,session,2025-12-04 18:00:00,P
AT001388,S0252,G02,session,2025-12-04 18:00:00,P
AT001389,S0260,G02,session,2025-12-04 18:00:00,P
AT001390,S0261,G02,session,2025-12-04 18:00:00,P
AT001391,S0264,G02,session,2025-12-04 18:00:00,P
AT001392,S0277,G02,session,2025-12-04 18:00:00,A
AT001393,S0281,G02,session,2025-12-04 18:00:00,P
AT001394,S0285,G02,session,2025-12-04 18:00:00,P
AT001395,S0296,G02,session,2025-12-04 18:00:00,P
AT001396,S0317,G02,session,2025-12-04 18:00:00,P
AT001397,S0336,G02,session,2025-12-04 18:00:00,P
AT001398,S0347,G02,session,2025-12-04 18:00:00,P
AT001399,S0352,G02,session,2025-12-04 18:00:00,A
AT001400,S0355,G02,session,2025-12-04 18:00:00,P
AT001401,S0368,G02,session,2025-12-04 18:00:00,P
AT001402,S0369,G02,session,2025-12-04 18:00:00,P
AT001403,S0378,G02,session,2025-12-04 18:00:00,P
AT001404,S0418,G02,session,2025-12-04 18:00:00,P
AT001405,S0424,G02,session,2025-12-04 18:00:00,A
AT001406,S0457,G02,session,2025-12-04 18:00:00,P
AT001407,S0480,G02,session,2025-12-04 18:00:00,P
AT001408,S0497,G02,session,2025-12-04 18:00:00,P
AT001409,S0004,G02,session,2025-12-11 18:00:00,P
AT001410,S0015,G02,session,2025-12-11 18:00:00,P
AT001411,S0017,G02,session,2025-12-11 18:00:00,A
AT001412,S0022,G02,session,2025-12-11 18:00:00,P
AT001413,S0043,G02,session,2025-12-11 18:00:00,P
AT001414,S0055,G02,session,2025-12-11 18:00:00,P
AT001415,S0064,G02,session,2025-12-11 18:00:00,A
AT001416,S0075,G02,session,2025-12-11 18:00:00,P
AT001417,S0097,G02,session,2025-12-11 18:00:00,P
AT001418,S0098,G02,session,2025-12-11 18:00:00,P
AT001419,S0100,G02,session,2025-12-11 18:00:00,P
AT001420,S0102,G02,session,2025-12-11 18:00:00,P
AT001421,S0104,G02,session,2025-12-11 18:00:00,P
AT001422,S0124,G02,session,2025-12-11 18:00:00,P
AT001423,S0126,G02,session,2025-12-11 18:00:00,P
AT001424,S0130,G02,session,2025-12-11 18:00:00,P
AT001425,S0133,G02,session,2025-12-11 18:00:00,P
AT001426,S0135,G02,session,2025-12-11 18:00:00,P
AT001427,S0149,G02,session,2025-12-11 18:00:00,A
AT001428,S0163,G02,session,2025-12-11 18:00:00,P
AT001429,S0176,G02,session,2025-12-11 18:00:00,P
AT001430,S0180,G02,session,2025-12-11 18:00:00,P
AT001431,S0182,G02,session,2025-12-11 18:00:00,P
AT001432,S0183,G02,session,2025-12-11 18:00:00,P
AT001433,S0185,G02,session,2025-12-11 18:00:00,P
AT001434,S0186,G02,session,2025-12-11 18:00:00,P
AT001435,S0188,G02,session,2025-12-11 18:00:00,A
AT001436,S0198,G02,session,2025-12-11 18:00:00,P
AT001437,S0199,G02,session,2025-12-11 18:00:00,P
AT001438,S0202,G02,session,2025-12-11 18:00:00,P
AT001439,S0208,G02,session,2025-12-11 18:00:00,A
AT001440,S0218,G02,session,2025-12-11 18:00:00,P
AT001441,S0221,G02,session,2025-12-11 18:00:00,P
AT001442,S0227,G02,session,2025-12-11 18:00:00,P
AT001443,S0247,G02,session,2025-12-11 18:00:00,P
AT001444,S0252,G02,session,2025-12-11 18:00:00,A
AT001445,S0260,G02,session,2025-12-11 18:00:00,P
AT001446,S0261,G02,session,2025-12-11 18:00:00,A
AT001447,S0264,G02,session,2025-12-11 18:00:00,P
AT001448,S0277,G02,session,2025-12-11 18:00:00,P
AT001449,S0281,G02,session,2025-12-11 18:00:00,P
AT001450,S0285,G02,session,2025-12-11 18:00:00,A
AT001451,S0296,G02,session,2025-12-11 18:00:00,P
AT001452,S0317,G02,session,2025-12-11 18:00:00,P
AT001453,S0336,G02,session,2025-12-11 18:00:00,A
AT001454,S0347,G02,session,2025-12-11 18:00:00,P
AT001455,S0352,G02,session,2025-12-11 18:00:00,P
AT001456,S0355,G02,session,2025-12-11 18:00:00,P
AT001457,S0368,G02,session,2025-12-11 18:00:00,P
AT001458,S0369,G02,session,2025-12-11 18:00:00,P
AT001459,S0378,G02,session,2025-12-11 18:00:00,P
AT001460,S0418,G02,session,2025-12-11 18:00:00,A
AT001461,S0424,G02,session,2025-12-11 18:00:00,A
AT001462,S0457,G02,session,2025-12-11 18:00:00,P
AT001463,S0480,G02,session,2025-12-11 18:00:00,P
AT001464,S0497,G02,session,2025-12-11 18:00:00,P
AT001465,S0004,G02,session,2025-12-18 18:00:00,P
AT001466,S0015,G02,session,2025-12-18 18:00:00,P
AT001467,S0017,G02,session,2025-12-18 18:00:00,P
AT001468,S0022,G02,session,2025-12-18 18:00:00,P
AT001469,S0043,G02,session,2025-12-18 18:00:00,A
AT001470,S0055,G02,session,2025-12-18 18:00:00,A
AT001471,S0064,G02,session,2025-12-18 18:00:00,P
AT001472,S0075,G02,session,2025-12-18 18:00:00,P
AT001473,S0097,G02,session,2025-12-18 18:00:00,P
AT001474,S0098,G02,session,2025-12-18 18:00:00,P
AT001475,S0100,G02,session,2025-12-18 18:00:00,P
AT001476,S0102,G02,session,2025-12-18 18:00:00,P
AT001477,S0104,G02,session,2025-12-18 18:00:00,A
AT001478,S0124,G02,session,2025-12-18 18:00:00,P
AT001479,S0126,G02,session,2025-12-18 18:00:00,P
AT001480,S0130,G02,session,2025-12-18 18:00:00,P
AT001481,S0133,G02,session,2025-12-18 18:00:00,P
AT001482,S0135,G02,session,2025-12-18 18:00:00,P
AT001483,S0149,G02,session,2025-12-18 18:00:00,P
AT001484,S0163,G02,session,2025-12-18 18:00:00,A
AT001485,S0176,G02,session,2025-12-18 18:00:00,A
AT001486,S0180,G02,session,2025-12-18 18:00:00,A
AT001487,S0182,G02,session,2025-12-18 18:00:00,P
AT001488,S0183,G02,session,2025-12-18 18:00:00,P
AT001489,S0185,G02,session,2025-12-18 18:00:00,A
AT001490,S0186,G02,session,2025-12-18 18:00:00,P
AT001491,S0188,G02,session,2025-12-18 18:00:00,P
AT001492,S0198,G02,session,2025-12-18 18:00:00,A
AT001493,S0199,G02,session,2025-12-18 18:00:00,P
AT001494,S0202,G02,session,2025-12-18 18:00:00,P
AT001495,S0208,G02,session,2025-12-18 18:00:00,P
AT001496,S0218,G02,session,2025-12-18 18:00:00,P
AT001497,S0221,G02,session,2025-12-18 18:00:00,P
AT001498,S0227,G02,session,2025-12-18 18:00:00,P
AT001499,S0247,G02,session,2025-12-18 18:00:00,P
AT001500,S0252,G02,session,2025-12-18 18:00:00,P
AT001501,S0260,G02,session,2025-12-18 18:00:00,P
AT001502,S0261,G02,session,2025-12-18 18:00:00,P
AT001503,S0264,G02,session,2025-12-18 18:00:00,P
AT001504,S0277,G02,session,2025-12-18 18:00:00,P
AT001505,S0281,G02,session,2025-12-18 18:00:00,P
AT001506,S0285,G02,session,2025-12-18 18:00:00,P
AT001507,S0296,G02,session,2025-12-18 18:00:00,P
AT001508,S0317,G02,session,2025-12-18 18:00:00,P
AT001509,S0336,G02,session,2025-12-18 18:00:00,P
AT001510,S0347,G02,session,2025-12-18 18:00:00,P
AT001511,S0352,G02,session,2025-12-18 18:00:00,P
AT001512,S0355,G02,session,2025-12-18 18:00:00,A
AT001513,S0368,G02,session,2025-12-18 18:00:00,P
AT001514,S0369,G02,session,2025-12-18 18:00:00,A
AT001515,S0378,G02,session,2025-12-18 18:00:00,A
AT001516,S0418,G02,session,2025-12-18 18:00:00,P
AT001517,S0424,G02,session,2025-12-18 18:00:00,P
AT001518,S0457,G02,session,2025-12-18 18:00:00,P
AT001519,S0480,G02,session,2025-12-18 18:00:00,P
AT001520,S0497,G02,session,2025-12-18 18:00:00,P
AT001521,S0004,G02,quiz,2025-12-25 18:00:00,P
AT001522,S0015,G02,quiz,2025-12-25 18:00:00,A
AT001523,S0017,G02,quiz,2025-12-25 18:00:00,P
AT001524,S0022,G02,quiz,2025-12-25 18:00:00,P
AT001525,S0043,G02,quiz,2025-12-25 18:00:00,P
AT001526,S0055,G02,quiz,2025-12-25 18:00:00,P
AT001527,S0064,G02,quiz,2025-12-25 18:00:00,P
AT001528,S0075,G02,quiz,2025-12-25 18:00:00,P
AT001529,S0097,G02,quiz,2025-12-25 18:00:00,P
AT001530,S0098,G02,quiz,2025-12-25 18:00:00,P
AT001531,S0100,G02,quiz,2025-12-25 18:00:00,P
AT001532,S0102,G02,quiz,2025-12-25 18:00:00,P
AT001533,S0104,G02,quiz,2025-12-25 18:00:00,P
AT001534,S0124,G02,quiz,2025-12-25 18:00:00,P
AT001535,S0126,G02,quiz,2025-12-25 18:00:00,P
AT001536,S0130,G02,quiz,2025-12-25 18:00:00,P
AT001537,S0133,G02,quiz,2025-12-25 18:00:00,P
AT001538,S0135,G02,quiz,2025-12-25 18:00:00,P
AT001539,S0149,G02,quiz,2025-12-25 18:00:00,P
AT001540,S0163,G02,quiz,2025-12-25 18:00:00,P
AT001541,S0176,G02,quiz,2025-12-25 18:00:00,A
AT001542,S0180,G02,quiz,2025-12-25 18:00:00,P
AT001543,S0182,G02,quiz,2025-12-25 18:00:00,P
AT001544,S0183,G02,quiz,2025-12-25 18:00:00,A
AT001545,S0185,G02,quiz,2025-12-25 18:00:00,P
AT001546,S0186,G02,quiz,2025-12-25 18:00:00,A
AT001547,S0188,G02,quiz,2025-12-25 18:00:00,P
AT001548,S0198,G02,quiz,2025-12-25 18:00:00,P
AT001549,S0199,G02,quiz,2025-12-25 18:00:00,P
AT001550,S0202,G02,quiz,2025-12-25 18:00:00,P
AT001551,S0208,G02,quiz,2025-12-25 18:00:00,P
AT001552,S0218,G02,quiz,2025-12-25 18:00:00,A
AT001553,S0221,G02,quiz,2025-12-25 18:00:00,P
AT001554,S0227,G02,quiz,2025-12-25 18:00:00,P
AT001555,S0247,G02,quiz,2025-12-25 18:00:00,P
AT001556,S0252,G02,quiz,2025-12-25 18:00:00,P
AT001557,S0260,G02,quiz,2025-12-25 18:00:00,A
AT001558,S0261,G02,quiz,2025-12-25 18:00:00,P
AT001559,S0264,G02,quiz,2025-12-25 18:00:00,P
AT001560,S0277,G02,quiz,2025-12-25 18:00:00,P
AT001561,S0281,G02,quiz,2025-12-25 18:00:00,P
AT001562,S0285,G02,quiz,2025-12-25 18:00:00,A
AT001563,S0296,G02,quiz,2025-12-25 18:00:00,P
AT001564,S0317,G02,quiz,2025-12-25 18:00:00,P
AT001565,S0336,G02,quiz,2025-12-25 18:00:00,A
AT001566,S0347,G02,quiz,2025-12-25 18:00:00,P
AT001567,S0352,G02,quiz,2025-12-25 18:00:00,P
AT001568,S0355,G02,quiz,2025-12-25 18:00:00,P
AT001569,S0368,G02,quiz,2025-12-25 18:00:00,P
AT001570,S0369,G02,quiz,2025-12-25 18:00:00,P
AT001571,S0378,G02,quiz,2025-12-25 18:00:00,A
AT001572,S0418,G02,quiz,2025-12-25 18:00:00,P
AT001573,S0424,G02,quiz,2025-12-25 18:00:00,P
AT001574,S0457,G02,quiz,2025-12-25 18:00:00,P
AT001575,S0480,G02,quiz,2025-12-25 18:00:00,A
AT001576,S0497,G02,quiz,2025-12-25 18:00:00,P
AT002809,S0001,G03,session,2025-12-07 17:00:00,P
AT002810,S0037,G03,session,2025-12-07 17:00:00,A
AT002811,S0045,G03,session,2025-12-07 17:00:00,P
AT002812,S0059,G03,session,2025-12-07 17:00:00,A
AT002813,S0061,G03,session,2025-12-07 17:00:00,P
AT002814,S0079,G03,session,2025-12-07 17:00:00,P
AT002815,S0087,G03,session,2025-12-07 17:00:00,P
AT002816,S0101,G03,session,2025-12-07 17:00:00,P
AT002817,S0107,G03,session,2025-12-07 17:00:00,P
AT002818,S0158,G03,session,2025-12-07 17:00:00,P
AT002819,S0160,G03,session,2025-12-07 17:00:00,P
AT002820,S0164,G03,session,2025-12-07 17:00:00,P
AT002821,S0178,G03,session,2025-12-07 17:00:00,A
AT002822,S0195,G03,session,2025-12-07 17:00:00,P
AT002823,S0197,G03,session,2025-12-07 17:00:00,P
AT002824,S0209,G03,session,2025-12-07 17:00:00,P
AT002825,S0216,G03,session,2025-12-07 17:00:00,A
AT002826,S0225,G03,session,2025-12-07 17:00:00,P
AT002827,S0243,G03,session,2025-12-07 17:00:00,A
AT002828,S0248,G03,session,2025-12-07 17:00:00,A
AT002829,S0249,G03,session,2025-12-07 17:00:00,P
AT002830,S0253,G03,session,2025-12-07 17:00:00,P
AT002831,S0254,G03,session,2025-12-07 17:00:00,P
AT002832,S0267,G03,session,2025-12-07 17:00:00,P
AT002833,S0293,G03,session,2025-12-07 17:00:00,P
AT002834,S0305,G03,session,2025-12-07 17:00:00,P
AT002835,S0308,G03,session,2025-12-07 17:00:00,A
AT002836,S0318,G03,session,2025-12-07 17:00:00,P
AT002837,S0319,G03,session,2025-12-07 17:00:00,P
AT002838,S0323,G03,session,2025-12-07 17:00:00,P
AT002839,S0338,G03,session,2025-12-07 17:00:00,P
AT002840,S0354,G03,session,2025-12-07 17:00:00,A
AT002841,S0358,G03,session,2025-12-07 17:00:00,A
AT002842,S0366,G03,session,2025-12-07 17:00:00,P
AT002843,S0379,G03,session,2025-12-07 17:00:00,A
AT002844,S0388,G03,session,2025-12-07 17:00:00,P
AT002845,S0403,G03,session,2025-12-07 17:00:00,P
AT002846,S0413,G03,session,2025-12-07 17:00:00,P
AT002847,S0417,G03,session,2025-12-07 17:00:00,P
AT002848,S0421,G03,session,2025-12-07 17:00:00,A
AT002849,S0423,G03,session,2025-12-07 17:00:00,P
